course_code,final_grade,semester_code,Other,assessment,assignment,lecture,practice,project,review,tutorial_lab,total_hours
CHE 102,85,1A,0.0,4.25,18.9,20.92,19.39,0.0,13.87,16.5,93.83
MATH 115,77,1A,0.0,10.0,0.0,36.67,57.39,0.0,20.54,1.67,126.27
MATH 116,74,1A,0.0,4.33,0.0,27.5,24.35,0.0,4.14,12.42,72.74
MSCI 100,88,1A,0.0,1.06,5.79,21.33,0.0,34.22,0.0,41.73,104.13
PHYS 115,72,1A,0.0,4.33,30.7,12.5,17.14,0.0,12.1,15.92,92.69
ARTS 190,91,1B,0.0,0.0,17.1,26.67,0.0,0.0,0.23,0.0,44.0
MSCI 121,92,1B,0.0,3.92,24.77,22.17,8.93,0.0,1.09,10.92,71.8
PHYS 125,79,1B,0.0,4.33,19.55,21.58,14.9,0.0,14.12,15.18,89.66
MSCI 131,89,1B,0.0,5.33,0.0,4.25,2.72,8.56,3.12,12.5,36.48
MATH 118,75,1B,0.0,4.33,0.08,30.0,19.26,0.0,4.91,13.58,72.16
GENE 123,92,1B,0.0,4.33,0.97,23.75,23.13,0.0,8.01,19.25,79.44
MSCI 251,93,2A,0.0,4.83,8.17,19.67,6.73,0.0,15.67,15.92,70.99
MSCI 261,92,2A,0.0,5.33,0.0,5.68,11.09,4.03,4.35,0.0,30.48
MSCI 240,97,2A,0.0,3.83,4.48,24.5,2.76,29.03,4.4,0.3,69.3
MSCI 271,92,2A,0.0,7.0,9.98,21.17,21.44,0.0,8.41,5.5,73.5
SCI 238,90,2A,0.0,4.3,12.36,0.17,0.0,0.0,0.0,0.0,16.83
MSCI 263,77,2B,0.0,5.17,10.15,5.67,4.49,0.0,12.13,0.0,37.61
MSCI 331,94,2B,0.0,4.5,10.7,20.92,10.05,16.2,2.65,1.33,66.35
EARTH 123,96,2B,0.33,8.29,14.18,0.0,0.0,0.0,0.0,0.0,22.8
MSCI 253,88,2B,0.0,5.0,6.12,13.42,12.92,0.0,15.32,7.24,60.02
MSCI 245,91,2B,0.0,3.64,0.0,12.82,0.0,10.81,9.56,7.47,44.3
MSE 342,90,3A,0.87,3.49,0.0,0.83,0.0,16.15,4.5,7.06,32.9
MSE 442,91,3A,0.0,0.0,0.69,0.5,0.0,8.83,0.0,0.0,10.02
MSE 211,71,3A,0.14,2.5,6.89,1.33,1.11,7.3,9.2,0.0,28.47
MSE 446,78,3A,1.33,4.33,3.73,2.67,6.06,9.84,16.73,0.85,45.54
MSE 334,88,3A,0.0,2.7399999999999998,0.0,1.39,5.27,7.26,7.3,8.9,32.86
MSE 431,93,3A,0.0,7.83,0.32,5.33,10.68,16.8,13.22,0.0,54.18
MSE 391,92,3A,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,2.58
MSE 630,88,3A1/2,2.11,0.72,12.72,6.67,0.0,18.740000000000002,0.0,0.0,40.96
