course_code,activity,duration
ARTS 190,Assignment,17:06:03
ARTS 190,Lecture,26:40:00
ARTS 190,Review,0:14:01
CHE 102,Assignment,18:53:57
CHE 102,Exam,4:15:00
CHE 102,Lecture,20:55:00
CHE 102,Practice,19:23:26
CHE 102,Review,13:52:27
CHE 102,Tutorial,16:29:47
GENE 123,Assignment,0:58:24
GENE 123,Exam,4:20:00
GENE 123,Lab,18:55:00
GENE 123,Lecture,23:45:00
GENE 123,Practice,23:07:51
GENE 123,Review,8:00:19
GENE 123,Tutorial,0:20:00
MATH 115,Exam,4:10:00
MATH 115,Lecture,36:40:00
MATH 115,Practice,57:23:15
MATH 115,Quiz,5:50:00
MATH 115,Review,20:32:15
MATH 115,Tutorial,1:40:00
MATH 116,Exam,4:20:00
MATH 116,Lecture,27:30:00
MATH 116,Practice,24:20:44
MATH 116,Review,4:08:10
MATH 116,Tutorial,12:25:04
MATH 118,Assignment,0:05:00
MATH 118,Exam,4:20:00
MATH 118,Lecture,30:00:00
MATH 118,Practice,19:15:25
MATH 118,Review,4:54:20
MATH 118,Tutorial,13:35:00
MSCI 100,Group Project,17:41:59
MSCI 100,Project,16:31:18
MSCI 100,Lab,28:54:18
MSCI 100,Lecture,21:20:00
MSCI 100,Quiz,1:03:19
MSCI 100,Assignment,5:47:40
MSCI 100,Tutorial,12:49:40
MSCI 121,Assignment,24:46:22
MSCI 121,Exam,3:55:00
MSCI 121,Lecture,22:10:00
MSCI 121,Practice,8:55:44
MSCI 121,Review,1:05:26
MSCI 121,Tutorial,10:55:00
MSCI 131,Exam,1:50:00
MSCI 131,Lab,11:05:00
MSCI 131,Lecture,4:15:00
MSCI 131,Practice,2:43:19
MSCI 131,Project,8:33:41
MSCI 131,Quiz,3:30:00
MSCI 131,Review,3:07:22
MSCI 131,Tutorial,1:25:00
PHYS 115,Assignment,30:42:10
PHYS 115,Exam,4:20:00
PHYS 115,Lecture,12:30:00
PHYS 115,Practice,17:08:27
PHYS 115,Review,12:05:47
PHYS 115,Tutorial,15:55:00
PHYS 125,Assignment,19:32:56
PHYS 125,Exam,4:20:00
PHYS 125,Lecture,21:35:00
PHYS 125,Practice,14:53:47
PHYS 125,Review,14:07:14
PHYS 125,Tutorial,15:10:34
MSCI 240,Assignment,4:28:57
MSCI 240,Exam,3:50:00
MSCI 240,Lecture,24:30:00
MSCI 240,Practice,2:45:24
MSCI 240,Project,29:01:37
MSCI 240,Review,4:24:11
MSCI 240,Tutorial,0:17:45
MSCI 251,Assignment,8:10:05
MSCI 251,Exam,4:50:00
MSCI 251,Lab,12:20:40
MSCI 251,Lecture,19:40:08
MSCI 251,Practice,6:43:38
MSCI 251,Review,15:40:08
MSCI 251,Tutorial,3:35:00
MSCI 261,Exam,3:50:00
MSCI 261,Lecture,5:41:00
MSCI 261,Practice,11:05:22
MSCI 261,Project,4:01:40
MSCI 261,Quiz,1:30:00
MSCI 261,Review,4:21:09
MSCI 271,Assignment,9:58:39
MSCI 271,Exam,6:10:00
MSCI 271,Lecture,21:10:00
MSCI 271,Practice,21:26:11
MSCI 271,Quiz,0:50:00
MSCI 271,Review,8:24:54
MSCI 271,Tutorial,5:30:00
SCI 238,Assignment,12:21:33
SCI 238,Lecture,0:10:27
SCI 238,Quiz,4:18:12
EARTH 123,Assignment,14:10:34 PM
EARTH 123,Documentation,0:19:54
EARTH 123,Exam,2:46:21
EARTH 123,Quiz,5:31:04
MSCI 245,Exam,2:35:00
MSCI 245,Lab,7:28:06
MSCI 245,Lecture,12:49:25
MSCI 245,Project,10:48:30
MSCI 245,Quiz,1:03:23
MSCI 245,Review,9:33:28
MSCI 253,Assignment,6:07:03
MSCI 253,Exam,5:00:00
MSCI 253,Lab,4:44:31
MSCI 253,Lecture,13:25:00
MSCI 253,Practice,12:55:28
MSCI 253,Review,15:19:14
MSCI 253,Tutorial,2:30:00
MSCI 263,Assignment,10:08:45
MSCI 263,Exam,5:10:00
MSCI 263,Lecture,5:40:00
